"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-MLH1",-0.0156017950423584,0.0375462215512742,-0.0208174781718269,0.03308141465744,0.000803273062801885,0.0320864267488027,0.999994259358027,0.99999999999158,0.605324895544398,-0.00441241006666667,0.00327310399850632,0.00791628097718541,-1.87543184086099,-6.49298566808747,-1.82083914528823,1,1,1
"APC-MLLT4",-0.0130584927521749,0.0301352288844968,-0.0140602155896103,0.0239820674126982,0.00914958448076873,0.0252408956915005,0.99999999986441,1,0.999999926903101,0.00814786164333333,0.00327310399850632,0.0179332503970019,-1.86906595432851,-6.44870581423831,-1.80019409910105,1,1,1
"APC-MYSM1",-0.0249518213100667,0.0285618849285819,-0.0292919702496099,0.0242262101799059,-0.00888823477645674,0.0253622285207578,1,1,5.69815864263235e-06,-0.013228383716,0.00327310399850632,0.00845033359556035,-1.89883495991833,-6.54851840284276,-1.84481160652831,1,1,0.000104941088335146
"APC-NCOA3",0.00462465512410188,0.0284164410537586,-0.0104895560206096,0.0243481260043423,0.0129518337047115,0.0247302285450268,0.0224526477444744,0.999999969555573,0.99999999999244,-0.00216237744,0.00327310399850632,-0.0100601365626082,-1.82480502893557,-6.42530753987251,-1.79078903296915,0.138475399577549,1,1
"APC-NCOR1",-0.00596142425988645,0.0426220742948283,-0.0300216547125487,0.0317600376406294,0.00151864345266226,0.0363220726605109,0.983849039250472,1,0.74030023275115,-0.022541587,0.00327310399850632,-0.0198532667386199,-1.85130198938044,-6.55329997244758,-1.81906963849654,1,1,1
"APC-NF1",-0.0196931191727752,0.0288734481982113,-0.0212123578405376,0.0229925734315101,0.00180008522776238,0.0230963401397678,1,1,0.846972687597147,0.00028084656,0.00327310399850632,0.0167008617342689,-1.88567242660747,-6.49557328604751,-1.81837347726376,1,1,1
"APC-NF2",-0.0160063723587146,0.0408904793366763,-0.0192146382267382,0.0268370202698945,0.0217402869480236,0.0297251896025675,0.999999969103625,1,1,0.01853202108,0.00327310399850632,0.0312652894402083,-1.87644449802702,-6.48248237364706,-1.7690503254089,1,1,1
"APC-NFIA",-0.00464839629422807,0.0298626711632613,-0.0138172992667431,0.0228825111652926,0.0100470459685151,0.0226954810175062,0.971953785738231,0.999999999999978,0.999999955504813,0.000878142996,0.00327310399850632,0.00225343529172175,-1.84801547991767,-6.44711400111232,-1.7979741802725,1,1,1
"APC-PBRM1",0.0417043653424553,0.0445383168779927,-0.0327318842344131,0.0348205597737338,0.0450297756768684,0.0420215119538472,2.7381006696286e-30,1,1,-0.0294064739,0.00327310399850632,-0.0743839432409616,-1.73199450113537,-6.57105991083471,-1.71144253360669,1.81536074396376e-28,1,1
"APC-PTEN",-0.0331465215170653,0.0296832514562944,-0.029873417518559,0.0235980351778918,0.0276305153014937,0.0383439764513713,0.999999999997982,0.999999999997583,0.999999999758228,0.0309036193,0.00327310399850632,0.060777036818559,-1.91934629743681,-6.5523285848176,-1.7544805316017,1,1,1
"APC-PTPN22",-0.00408264916906158,0.0431308740859163,-0.0162410824492258,0.0319735910453091,0.0155645203801643,0.0265010021116994,0.883160470973525,0.999999999986355,0.999999999957951,0.0034060871,0.00327310399850632,0.00421563227055525,-1.84659941466315,-6.46299687731796,-1.78432641320981,1,1,1
"APC-RB1",-0.0185018502970915,0.0322612687783509,-0.0202329999426195,0.0242508421351145,0.00908923603552796,0.023203717304853,1,1,0.99999997858764,0.00735808639,0.00327310399850632,0.0225868326885852,-1.88269068019001,-6.48915562444887,-1.80034337419719,1,1,1
"APC-RBL2",-0.0276917482576574,0.0422177314751471,-0.0321110399618591,0.0347828316753594,0.00285405520340167,0.0258131016942533,1,1,0.92359383523034,-0.0015652365008,0.00327310399850632,0.0228534077583511,-1.9056929980379,-6.56699156313958,-1.81576642634781,1,1,1
"APC-RHOBTB1",-0.0330985108055294,0.028469942001804,-0.0345403509545044,0.0221186913014699,-0.00496459445102501,0.0202273729741107,1,1,0.00213406075135572,-0.0064064346,0.00327310399850632,0.023418972207023,-1.91922612660884,-6.58291066268613,-1.83510627303619,1,1,0.0192500990224333
